Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
INTENEGINS,International Energy Insurance Co. Plc,3.6,NGN,0,1487599,0.891016284537461,4622707495,NGN,,,,,0,Finance,No rating
STACO,Staco Insurance PLC,0.48,NGN,0,0,,4483722087,NGN,,,,,0,Finance,No rating
JOHNHOLT,John Holt PLC,9.6,NGN,-9.433962264150944,606061,0.7353273582068166,4125005288.0000005,NGN,,-2.2562,NGN,-135.51169452576573,0,Consumer services,No rating
AFRINSURE,African Alliance Insurance PLC,0.2,NGN,0,0,,4117000060.9999995,NGN,,,,,0,Finance,No rating
ALEX,Aluminium Extrusion Industries PLC,17.2,NGN,0,32752,0.11518636895651391,3783243259,NGN,,-2.3923,NGN,-337.909573494417,0,Non-energy minerals,No rating
ENAMELWA,Nigerian Enamelware PLC,40.5,NGN,0,2695,0.6676741650976117,3079295906,NGN,,-1.9353,NGN,-151.03504654413123,0,Consumer durables,No rating
UPL,University Press PLC,5.55,NGN,-9.756097560975618,295062,0.6912338109575255,2653168373,NGN,13.226882745471878,0.4196,NGN,42.96422487223169,2.4390243902439,Consumer services,No rating
PREMPAINTS,Premier Paints PLC,11,NGN,0,1500,0.031598571744557144,1353000000,NGN,541.8719211822661,0.0203,NGN,,0,Process industries,No rating
MULTITREX,Multi-Trex Integrated Foods Plc,0.36,NGN,0,0,,1340097680,NGN,,,,,0,Consumer non-durables,No rating
TRANSEXPR,Trans Nationwide Express Plc,2.15,NGN,0,3000,0.17339637254788628,1071022666.0000001,NGN,,-0.2374,NGN,-54.65798045602605,0,Transportation,No rating
AFROMEDIA,Afromedia PLC,0.24,NGN,0,0,,1065371226,NGN,,,,,0,Commercial services,No rating
PHARMDEKO,Pharma-Deko PLC,1.83,NGN,0,0,,396781407,NGN,,,,,0,Health technology,No rating
VANLEER,Greif Nigeria PLC,5.45,NGN,0,0,,,,,,,,,Process industries,No rating
CNIF,CORONATION INFRASTRUCTURE Units NGN,110,NGN,0,14312,0.1606184123107863,,,,,,,,,No rating
MOFIREIF,MOFI Real Estate Investment Fund Units NGN,100,NGN,0,7,,,,,,,,,,No rating
HMCALL,Haldane McCall Plc,4.5,NGN,1.3513513513513424,963109,0.45145754126267434,,,,,,,,Finance,No rating
NIDF,Chapel Hill Denham Lists Nigeria Infrastructure Debt Fund Units NGN,115.4,NGN,0,406232,1.4414145897845039,,,,,,,,Miscellaneous,No rating
JULI,Juli Plc,7.26,NGN,0,16658,0.20217908712343263,,,,,,,,Retail trade,No rating
NREIT,Chapel Hill Denham Management Limited,103,NGN,0,9500,0.9361819543537387,,,,,,,,,No rating
ZICHIS,Zichis Agro-Allied Industries Plc,15.79,NGN,9.958217270194984,2636113,0.8660986428954026,,,,,,,,Process industries,No rating
THOMASWY,Thomas Wyatt Nigeria Plc,2.75,NGN,0,0,0,,,,,,,,Distribution services,No rating
EKOCORP,Ekocorp PLC,5.8,NGN,0,0,,,,,,,,,Health services,No rating
LEGENDINT,LEGEND INTERNET PLC,6.1,NGN,1.6666666666666607,564179,0.18502585932657525,,,,,,,,Communications,No rating
AVAIF,AVA Infrastructure Fund,1000000,NGN,0,10,6.666666666666667,,,,,,,,,No rating
